Police Station,Address,Latitude,Longitude
Nelamangala Town,"Ambedkar circle, Kasaba Hobli, Nelamangala, Bengaluru-562123",13.0985,77.3947
Nelamangala Rural,"Near Arishina Kunte bridge, NH4, Kasaba Hobli, Nelamangala, Bengaluru-562123",13.122664459222538,77.36985627647077
Dobbaspete,"Near Vijaya Bank, Sompura Hobli, Dabbaspet, Bengaluru-562111",13.231652694148675,77.24222033492605
Thyamagondalu,"Devaraja circle, near Govt Hospital, Tyamagondalu, Bengaluru-562123",13.21691444925411,77.30053521872077
Madanayakana Halli,"Madanayakanahalli, Dasanapura Hobli, Nelamangala, Bengaluru-562123",13.06343934148175,77.46237646500425
Nelamangala Traffic,"Near Sri Gandha petrol bunk, Sondekoppa circle, Nelamangala, Bengaluru-562123",13.093006688323158,77.38945516871262
Doddaballapura Town,"Near D cross, Doddaballapura Town, Bengaluru-561203",13.309355930575498,77.54465474044186
Doddaballapura Rural,"Dairy circle, Doddaballapura Town, Bengaluru-561023",13.309210758684854,77.53771313636258
Women Police Station (South Division),"3806, Thyagaraja Nagar, Banashankari, Bengaluru, Karnataka 560070",12.945149692171865,77.55620405919
Women Police Station (Central Division),"2, Kasturba Rd, Halsurpete, Nagarathpete, Bengaluru, Karnataka 560002",12.98525583225259,77.58918456522031
Hosakote,"NH4, Hosakote Town, Bengaluru-562114",13.0709707552523,77.78278849383724
Avalahalli,"NH4, Avalahalli Post, Bengaluru-562114",13.043648675751355,77.74574885586237
Sarjapura,"Sarjapura Circle, Sarjapura Post, Bengaluru-562125",12.861722953323882,77.78321794447284
Jigani,"Santhe Beedhi, Jigani Post, Bengaluru-562125",12.782305015252762,77.64214411175963
Hebbagodi,"Near Hebbagodi Bus stop, Hebbagodi Town, Bengaluru-562125",12.827428571016732,77.68139321671984
Attibele,"Near Govt Hospital, NH7, Attibele Post, Bengaluru-562107",12.972302247280428,77.59440439487629
Anekal,"Near Taluk Office, Anekal Town, Bengaluru-562106",12.710901183122951,77.69530160736028
C.E.N,"Office of Superintendent of Police, #5, Millers Road, Bangalore – 560052",12.9885715954354,77.6031866642845
