Longitude,Latitude,Name,description,_id,camera_mount,camera_type,man_made,surveillance,surveillance_type,surveillance_zone,camera_direction,operator,check_date,survey_date,direction,surface,image,addr_street,height,camera_angle,material,fixme,access,status,disused_man_made
77.5841792,12.9779144,,,node/665072280,pole,dome,surveillance,public,camera,area,,,,,,,,,,,,,,,
77.6192601,13.0040647,Shalom Apt Gate Camera 1,,node/3173084275,wall,fixed,surveillance,outdoor,camera,town,W,,,,,,,,,,,,,,
77.6355011,12.9670078,,,node/3529706272,building,fixed,surveillance,outdoor,camera,street,,,,,,,,,,,,,,,
77.564784,13.0192437,,,node/3696421499,,,surveillance,,,,,,,,,,,,,,,,,,
77.5630553,13.0164591,,,node/3699307370,,,surveillance,,,,,,,,,,,,,,,,,,
77.5629092,13.016811,,,node/3699307372,,,surveillance,,,,,,,,,,,,,,,,,,
77.5713775,13.0275594,,,node/3699307389,,,surveillance,,,,,,,,,,,,,,,,,,
77.5689946,13.0126128,,,node/3715556377,,,surveillance,,,,,,,,,,,,,,,,,,
77.5349283,12.9655057,,CCTV,node/5342611522,,,surveillance,,,,,,,,,,,,,,,,,,
77.5348464,12.9651401,CCTV,Vijayanagar TTMC,node/5342615465,,,surveillance,,,,,,,,,,,,,,,,,,
77.5342179,12.9578343,Surveillance camera,,node/5367427456,,,surveillance,,,,,,,,,,,,,,,,,,
77.6138022,12.9737679,Pole 5,,node/5740384470,pole,fixed,surveillance,public,camera,traffic,"180",,,,,,,,,,,,,,
77.6110621,12.974344,Pole 4,,node/5740384471,pole,fixed,surveillance,traffic,camera,traffic,"180",,,,,,,,,,,,,,
77.5787556,13.0064362,,,node/5970919234,pole,dome,surveillance,public,camera,area,,BTP,,,,,,,,,,,,,
77.6123667,12.9344914,,,node/6433648828,traffic_signals,panning,surveillance,public,camera,traffic,,BTP,2021/12/05 00:00:00,,,,,,,,,,,,
77.5952023,12.9102739,Camera,,node/6433705424,traffic_signals,panning,surveillance,public,camera,,,,,,,,,,,,,,,,
77.6186189,13.0043155,,,node/6434324364,wall,fixed,surveillance,outdoor,camera,building,"100",Apartment,,,,,,,,,,,,,
77.6168195,13.0036358,CCTV,,node/6440425404,pole,dome,surveillance,public,camera,town,,,,,,,,,,,,,,,
77.6197036,13.0040539,,,node/6440526167,traffic_signals,dome,surveillance,public,camera,,,,,,,,,,,,,,,,
77.6173656,13.0049492,,3 Cameras on 1 pole,node/6440614863,pole,fixed,surveillance,public,camera,town,"280;0;120",,,,,,,,,,,,,,
77.6172604,13.0047271,,,node/6440691832,,,surveillance,outdoor,camera,,,,,,,,,,,,,,,,
77.6233088,12.9311267,,,node/6441934435,wall,fixed,surveillance,outdoor,camera,area,"30",,,,,,,,,,,,,,
77.6230211,12.9308146,,,node/6441986482,pole,panning,surveillance,public,camera,area,,,,,,,,,,,,,,,
77.580865,13.0056695,CCTV,,node/6442914942,,,surveillance,outdoor,camera,,,,,,,,,,,,,,,,
